attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,15,test,528,670,187,329,0.41715285881,0.738461538462,0.616102683781,0.671755725191
1.0,16,train,1869,2599,366,1096,0.376897133221,0.836241610738,0.630354131535,0.718846153846
1.0,16,test,488,694,163,369,0.379813302217,0.749615975422,0.56942823804,0.647214854111
1.0,17,train,1912,2531,434,1053,0.395615514334,0.815004262575,0.644856661046,0.720015063077
1.0,17,test,508,690,167,349,0.393815635939,0.752592592593,0.59276546091,0.66318537859
1.0,18,train,2002,2528,437,963,0.411298482293,0.820828208282,0.67521079258,0.740932642487
1.0,18,test,520,679,178,337,0.40723453909,0.744985673352,0.606767794632,0.668810289389
1.0,19,train,1903,2536,429,1062,0.393254637437,0.816037735849,0.641821247892,0.718519916934
1.0,19,test,512,687,170,345,0.397899649942,0.75073313783,0.597432905484,0.665367121507
1.0,20,train,1925,2591,374,1040,0.387689713322,0.837320574163,0.649241146712,0.731382978723
1.0,20,test,490,694,163,367,0.380980163361,0.750382848392,0.571761960327,0.649006622517
1.0,21,train,1931,2573,392,1034,0.39173693086,0.831252690486,0.651264755481,0.730332829047
1.0,21,test,498,692,165,359,0.386814469078,0.751131221719,0.581096849475,0.655263157895
1.0,22,train,1974,2550,415,991,0.402866779089,0.826287149435,0.665767284992,0.737392603661
1.0,22,test,500,687,170,357,0.390898483081,0.746268656716,0.583430571762,0.654878847413
1.0,23,train,1998,2573,392,967,0.403035413153,0.835983263598,0.673861720067,0.746218487395
1.0,23,test,505,686,171,352,0.394399066511,0.747041420118,0.58926487748,0.658838878017
1.0,24,train,2058,2528,437,907,0.420741989882,0.824849699399,0.694097807757,0.753846153846
1.0,24,test,528,672,185,329,0.415985997666,0.740532959327,0.616102683781,0.672611464968
1.0,25,train,2032,2588,377,933,0.406239460371,0.843503528435,0.685328836425,0.756233717901
1.0,25,test,502,683,174,355,0.394399066511,0.742603550296,0.585764294049,0.654924983692
1.0,26,train,1984,2587,378,981,0.398313659359,0.839966130398,0.669139966273,0.744884550404
1.0,26,test,499,685,172,358,0.391481913652,0.743666169896,0.582263710618,0.653141361257
1.0,27,train,1415,2383,582,1550,0.33676222597,0.708562844266,0.477234401349,0.570334542523
1.0,27,test,363,673,184,494,0.319136522754,0.663619744059,0.423570595099,0.517094017094
1.0,28,train,1771,2589,376,1194,0.362057335582,0.824871914299,0.597301854975,0.692879499218
1.0,28,test,432,693,164,425,0.34772462077,0.724832214765,0.504084014002,0.594631796284
1.0,29,train,1807,2645,320,1158,0.3586846543,0.849553361542,0.609443507589,0.709740769835
1.0,29,test,449,709,148,408,0.348308051342,0.752093802345,0.523920653442,0.617606602476
1.0,30,train,1887,2632,333,1078,0.37436762226,0.85,0.636424957841,0.727868852459
1.0,30,test,473,701,156,384,0.366977829638,0.751987281399,0.551925320887,0.636608344549
1.0,31,train,1930,2612,353,1035,0.384991568297,0.845378887429,0.650927487352,0.735518292683
1.0,31,test,487,697,160,370,0.37747957993,0.752704791345,0.568261376896,0.647606382979
1.0,32,train,2016,2599,366,949,0.401686340641,0.846347607053,0.679932546374,0.754067701515
1.0,32,test,497,686,171,360,0.389731621937,0.744011976048,0.579929988331,0.651803278689
1.0,33,train,2100,2558,407,865,0.422765598651,0.837654567212,0.70826306914,0.767543859649
1.0,33,test,522,671,186,335,0.413068844807,0.737288135593,0.609101516919,0.667092651757
1.0,34,train,2100,2571,394,865,0.420573355818,0.84202085004,0.70826306914,0.769371679795
