attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0.9,21,train,604,2595,370,2361,0.164249578415,0.620123203285,0.20370994941,0.306676821528
0.9,21,test,148,703,154,709,0.176196032672,0.490066225166,0.172695449242,0.25539257981
0.9,22,train,628,2597,368,2337,0.167959527825,0.630522088353,0.211804384486,0.317091643524
0.9,22,test,155,697,160,702,0.183780630105,0.492063492063,0.180863477246,0.264505119454
0.9,23,train,672,2549,416,2293,0.18347386172,0.617647058824,0.226644182125,0.331606217617
0.9,23,test,167,677,180,690,0.202450408401,0.481268011527,0.194865810968,0.277408637874
0.9,24,train,735,2491,474,2230,0.203878583474,0.60794044665,0.247892074199,0.352180162913
0.9,24,test,178,665,192,679,0.215869311552,0.481081081081,0.207701283547,0.290138549307
0.9,25,train,716,2519,446,2249,0.195952782462,0.616179001721,0.241483979764,0.346983280834
0.9,25,test,176,669,188,681,0.212368728121,0.483516483516,0.20536756126,0.288288288288
0.9,26,train,716,2522,443,2249,0.19544688027,0.617773943054,0.241483979764,0.347235693501
0.9,26,test,172,671,186,685,0.208868144691,0.480446927374,0.200700116686,0.283127572016
0.9,27,train,709,2541,424,2256,0.191062394604,0.625772285966,0.239123102867,0.346022449976
0.9,27,test,170,674,183,687,0.205950991832,0.481586402266,0.198366394399,0.280991735537
0.9,28,train,749,2510,455,2216,0.203035413153,0.622093023256,0.252613827993,0.359318781482
0.9,28,test,178,664,193,679,0.216452742124,0.479784366577,0.207701283547,0.28990228013
0.9,29,train,710,2554,411,2255,0.189038785835,0.633363068689,0.239460370995,0.347528144885
0.9,29,test,171,671,186,686,0.208284714119,0.478991596639,0.199533255543,0.281713344316
0.9,30,train,817,2487,478,2148,0.218381112985,0.630888030888,0.275548060708,0.383568075117
0.9,30,test,191,649,208,666,0.232788798133,0.478696741855,0.222870478413,0.304140127389
0.9,31,train,841,2479,486,2124,0.223777403035,0.633760361718,0.283642495784,0.391891891892
0.9,31,test,201,643,214,656,0.242123687281,0.484337349398,0.234539089848,0.316037735849
0.9,32,train,873,2466,499,2092,0.231365935919,0.636297376093,0.294435075885,0.402582430251
0.9,32,test,204,639,218,653,0.246207701284,0.483412322275,0.238039673279,0.318999218139
0.9,33,train,910,2433,532,2055,0.243170320405,0.631067961165,0.306913996627,0.412979351032
0.9,33,test,210,629,228,647,0.255542590432,0.479452054795,0.24504084014,0.324324324324
0.9,34,train,904,2448,517,2061,0.239629005059,0.636171710063,0.304890387858,0.412220702234
0.9,34,test,210,633,224,647,0.253208868145,0.483870967742,0.24504084014,0.325329202169
0.9,35,train,985,2403,562,1980,0.260876897133,0.636716224952,0.332209106239,0.436613475177
0.9,35,test,230,618,239,627,0.273628938156,0.490405117271,0.268378063011,0.346907993967
0.9,36,train,1013,2374,591,1952,0.270489038786,0.631546134663,0.341652613828,0.443423068505
0.9,36,test,248,615,242,609,0.285880980163,0.50612244898,0.289381563594,0.368225686711
0.9,37,train,1067,2347,618,1898,0.284148397976,0.633234421365,0.359865092749,0.458924731183
0.9,37,test,256,604,253,601,0.296966161027,0.502946954813,0.298716452742,0.374816983895
0.9,38,train,1078,2352,613,1887,0.285160202361,0.637492607924,0.363575042159,0.463058419244
