iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
13,train,1548,1582,1383,1417,0.494266441821,0.528147389969,0.522091062395,0.525101763908
13,test,439,455,402,418,0.490665110852,0.521997621879,0.512252042007,0.517078916372
14,train,1749,1530,1435,1216,0.536930860034,0.549309045226,0.589881956155,0.568872987478
14,test,491,431,426,366,0.535005834306,0.535441657579,0.57292882147,0.553551296505
15,train,1657,1542,1423,1308,0.519392917369,0.537987012987,0.558853288364,0.548221670802
15,test,500,431,426,357,0.540256709452,0.539956803456,0.583430571762,0.560852495794
16,train,1634,1641,1324,1331,0.498819561551,0.552400270453,0.551096121417,0.551747425291
16,test,509,434,423,348,0.543757292882,0.546137339056,0.593932322054,0.569032979318
17,train,1538,1533,1432,1427,0.50084317032,0.517845117845,0.518718381113,0.518281381634
17,test,431,454,403,426,0.486581096849,0.516786570743,0.502917152859,0.509757539917
18,train,2227,887,2078,738,0.725969645868,0.517305458769,0.751096121417,0.61265474553
18,test,629,261,596,228,0.714702450408,0.513469387755,0.733955659277,0.604226705091
19,train,1993,1208,1757,972,0.632377740304,0.531466666667,0.672175379427,0.593596425912
19,test,549,325,532,308,0.630688448075,0.507863089732,0.640606767795,0.566563467492
20,train,2024,1069,1896,941,0.661045531197,0.516326530612,0.6826306914,0.587944807553
20,test,595,316,541,262,0.662777129522,0.523767605634,0.694282380397,0.59708981435
21,train,2073,984,1981,892,0.683642495784,0.511346817958,0.69915682968,0.590682433395
21,test,615,299,558,242,0.684364060677,0.524296675192,0.717619603267,0.605911330049
22,train,1962,1187,1778,1003,0.630691399663,0.524598930481,0.661720067454,0.585234899329
22,test,542,327,530,315,0.625437572929,0.505597014925,0.63243873979,0.561949196475
23,train,2009,1163,1802,956,0.642664418212,0.527158226187,0.677571669477,0.592975206612
23,test,580,335,522,277,0.642940490082,0.526315789474,0.676779463244,0.59213884635
24,train,1860,1269,1696,1105,0.599662731872,0.523059617548,0.627318718381,0.570464652661
24,test,540,337,520,317,0.618436406068,0.509433962264,0.630105017503,0.56338028169
25,train,1784,1307,1658,1181,0.580438448567,0.518303312028,0.601686340641,0.556890900577
25,test,530,359,498,327,0.599766627771,0.515564202335,0.618436406068,0.562334217507
26,train,1768,1350,1615,1197,0.570489038786,0.522613065327,0.59629005059,0.557025834909
26,test,512,383,474,345,0.575262543757,0.519269776876,0.597432905484,0.555615843733
27,train,1608,1522,1443,1357,0.514502529511,0.527040314651,0.542327150084,0.534574468085
27,test,480,431,426,377,0.528588098016,0.529801324503,0.560093348891,0.544526375496
28,train,1719,1463,1502,1246,0.543170320405,0.533685190934,0.57976391231,0.555771096023
28,test,505,412,445,352,0.554259043174,0.531578947368,0.58926487748,0.558937465412
29,train,1738,1478,1487,1227,0.543844856661,0.538914728682,0.586172006745,0.56155088853
29,test,495,411,446,362,0.549008168028,0.526036131775,0.577596266044,0.550611790879
30,train,1791,1394,1571,1174,0.56694772344,0.532718619869,0.604047217538,0.566145092461
30,test,531,381,476,326,0.587514585764,0.527308838133,0.619603267211,0.56974248927
31,train,1882,1329,1636,1083,0.593254637437,0.534963047186,0.634738617201,0.580595403363
31,test,534,370,487,323,0.595682613769,0.523016650343,0.623103850642,0.568690095847
32,train,1719,1536,1429,1246,0.530860033727,0.546060991105,0.57976391231,0.562407982987
32,test,478,405,452,379,0.542590431739,0.513978494624,0.557759626604,0.534974818131
33,train,1721,1449,1516,1244,0.54586846543,0.531665122027,0.580438448567,0.554982263786
33,test,485,413,444,372,0.542007001167,0.522066738428,0.565927654609,0.543113101904
34,train,1821,1325,1640,1144,0.583642495784,0.526148511991,0.614165261383,0.566760037348
34,test,511,370,487,346,0.582263710618,0.512024048096,0.596266044341,0.550943396226
35,train,1888,1276,1689,1077,0.603204047218,0.527816606094,0.63676222597,0.577193518802
35,test,518,389,468,339,0.575262543757,0.525354969574,0.604434072345,0.562126966902
36,train,2093,1095,1870,872,0.668296795953,0.528135251072,0.705902192243,0.6042147806
36,test,600,305,552,257,0.67211201867,0.520833333333,0.700116686114,0.59731209557
37,train,2265,824,2141,700,0.743001686341,0.514071720381,0.763912310287,0.614570614571
