iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
29,train,2020,1685,1280,945,0.62478920742,0.612121212121,0.681281618887,0.64485235435
29,test,589,504,353,268,0.637689614936,0.625265392781,0.687281213536,0.654808226793
30,train,2066,1671,1294,899,0.63018549747,0.614880952381,0.696795952782,0.653280632411
30,test,587,478,379,270,0.621353558926,0.607660455487,0.684947491249,0.643993417444
31,train,2007,1747,1218,958,0.63305227656,0.622325581395,0.676897133221,0.648465266559
31,test,575,514,343,282,0.635355892649,0.626361655773,0.670945157526,0.647887323944
32,train,2007,1796,1169,958,0.6413153457,0.631926952141,0.676897133221,0.653639472399
32,test,599,511,346,258,0.647607934656,0.633862433862,0.698949824971,0.664816870144
33,train,2010,1757,1208,955,0.635244519393,0.624611559975,0.677908937605,0.650169820475
33,test,589,505,352,268,0.638273045508,0.625929861849,0.687281213536,0.655172413793
34,train,2017,1795,1170,948,0.642833052277,0.632883589583,0.680269814503,0.655721716515
34,test,612,509,348,245,0.654025670945,0.6375,0.714119019837,0.673637864612
35,train,2042,1787,1178,923,0.645699831366,0.634161490683,0.688701517707,0.660307194826
35,test,603,508,349,254,0.648191365228,0.633403361345,0.703617269545,0.666666666667
36,train,2013,1749,1216,952,0.634401349073,0.623412821307,0.67892074199,0.649983855344
36,test,580,504,353,277,0.63243873979,0.621650589496,0.676779463244,0.648044692737
37,train,1983,1704,1261,982,0.621753794266,0.611282367448,0.668802698145,0.638750201321
